tier,division,summonerName
GOLD,III,AAxept
GOLD,III,LL Dak2
GOLD,III,Mistrall
GOLD,III,BaldurInMittgard
GOLD,III,Neïra
GOLD,III,Ericneitor
GOLD,III,Gave Em Hope
GOLD,III,IM NOT PRE02
GOLD,III,FieryBunny
GOLD,III,ReMsQuadzZGaming
GOLD,III,OmakuTI
GOLD,III,Nawlol
GOLD,III,Voghera Capitale
GOLD,III,sretlif
GOLD,III,Cookiis81
GOLD,III,Troudeney
GOLD,III,The Aurore
GOLD,III,Lil Gusize
GOLD,III,Lädacüs
GOLD,III,Fizz Nayyk
GOLD,III,Hazaky
GOLD,III,SoNiiC RiseS
GOLD,III,Tik doesnt care
GOLD,III,O Piratinha
GOLD,III,yea the boys
GOLD,III,Snowflake7777
GOLD,III,Average Vanni
GOLD,III,Crøwnie cløwn
GOLD,III,Shäpes
GOLD,III,NiDeXiaoKeAiYa
GOLD,III,Humbucker
GOLD,III,Parysienne
GOLD,III,LocusFlow
GOLD,III,B2B
GOLD,III,Ξ R E N
GOLD,III,Hextech Leon
GOLD,III,Qu1ao
GOLD,III,iLikeKarpador
GOLD,III,CookieBeer
GOLD,III,KORIDOR AFASI
GOLD,III,Kywâ
GOLD,III,Tehran Shaco
GOLD,III,Zootings
GOLD,III,VintedScammer
GOLD,III,Single world
GOLD,III,CheckmyQ
GOLD,III,xXKévindu36Xx
GOLD,III,LMAESTROOO
GOLD,III,twisted dant3rz
GOLD,III,Zincorx
GOLD,III,Z A C X T E R
GOLD,III,Kaen041
GOLD,III,AxeMurderParty
GOLD,III,xZiamo
GOLD,III,EC Erheb
GOLD,III,Iyi Gecelerr
GOLD,III,Midoriya Izukù
GOLD,III,SLR Defiant
GOLD,III,Eye of the V0id
GOLD,III,Charmei
GOLD,III,big man muscles
GOLD,III,i eat hamburger
GOLD,III,Mr Londuzboub
GOLD,III,KTL DantÆdo
GOLD,III,iHenrique23
GOLD,III,MostLee
GOLD,III,Medivh18
GOLD,III,Lee Kang In V2
GOLD,III,5 1 98 immH
GOLD,III,Dathh
GOLD,III,INT JINX
GOLD,III,stupidBOY
GOLD,III,Dünyalı
GOLD,III,MasterGrill2000
GOLD,III,phenixo21
GOLD,III,5 VS 1 pls
GOLD,III,HelloIAmToxic
GOLD,III,ID1
GOLD,III,Fakecrow
GOLD,III,alonsix11
GOLD,III,Εralion
GOLD,III,Bryzzus
GOLD,III,OoMoO
GOLD,III,Sarılı
GOLD,III,Chui niaille
GOLD,III,bebahaa
GOLD,III,3 Flatbreads and
GOLD,III,antonioex555
GOLD,III,S4ne v2
GOLD,III,Jengi
GOLD,III,albertocarras
GOLD,III,Sàlvador Sama
GOLD,III,GervontΔ
GOLD,III,TaLaNtEdx4x
GOLD,III,Kxkashi
GOLD,III,MrGibusv2
GOLD,III,sniperking1511
GOLD,III,Zophius
GOLD,III,Thresh Mak 3
GOLD,III,DonkeyPnch
GOLD,III,DocAlex
GOLD,III,Ymranarevofo
GOLD,III,patrii100
GOLD,III,XBombX
GOLD,III,KOIsenpai
GOLD,III,EgirIUwU02
GOLD,III,Xamnes
GOLD,III,dyourdad
GOLD,III,tf solo mid
GOLD,III,Diegochetao
GOLD,III,Thrash Slayer
GOLD,III,adam10566
GOLD,III,MaddoG813
GOLD,III,IIIIllIlllIlIlI
GOLD,III,SexyHamster2001
GOLD,III,IsaacLegend
GOLD,III,alejandroo10
GOLD,III,Gr3go7
GOLD,III,Just Hook It
GOLD,III,IntensoPower
GOLD,III,vincethekid7
